name,capital,region,population,flag,difficulty,population_distractors
Central African Republic,Bangui,Africa,5513282,🇨🇫,medium,"['Oman', 'Palestine', 'Mauritania', 'Liberia', 'Slovakia']"
Chad,N'Djamena,Africa,19093595,🇹🇩,easy,"['Romania', 'Somalia', 'Senegal', 'Guatemala', 'Chile']"
Chile,Santiago,Americas,19629588,🇨🇱,easy,"['Somalia', 'Chad', 'Romania', 'Zambia', 'Senegal']"
China,Beijing,Asia,1404890000,🇨🇳,easy,"['India', 'United States', 'Indonesia', 'Nigeria', 'Pakistan']"
Christmas Island,Flying Fish Cove,Oceania,1692,🇨🇽,hard,"['Niue', 'Tokelau', 'British Indian Ocean Territory', 'Antarctica', 'Norfolk Island']"
Cocos (Keeling) Islands,West Island,Oceania,593,🇨🇨,hard,"['French Southern and Antarctic Lands', 'Vatican City', 'United States Minor Outlying Islands', 'Pitcairn Islands', 'South Georgia']"
Colombia,Bogotá,Americas,52695952,🇨🇴,easy,"['Kenya', 'Sudan', 'South Korea', 'Spain', 'Myanmar']"
Comoros,Moroni,Africa,944388,🇰🇲,medium,"['Guyana', 'Fiji', 'Cyprus', 'Réunion', 'Solomon Islands']"
Congo,Brazzaville,Africa,6228784,🇨🇬,medium,"['Somaliland', 'Singapore', 'Bulgaria', 'El Salvador', 'Denmark']"
Cook Islands,Avarua,Oceania,15040,🇨🇰,hard,"['Anguilla', 'Palau', 'Nauru', 'Wallis and Futuna', 'Tuvalu']"
Costa Rica,San José,Americas,5160700,🇨🇷,medium,"['Kuwait', 'New Zealand', 'Lebanon', 'Slovakia', 'Liberia']"
Croatia,Zagreb,Europe,3866233,🇭🇷,medium,"['Georgia', 'Mongolia', 'Eritrea', 'Uruguay', 'Bosnia and Herzegovina']"
Cuba,Havana,Americas,9748007,🇨🇺,medium,"['Togo', 'Honduras', 'Hungary', 'Israel', 'Austria']"
Curaçao,Willemstad,Americas,155826,🇨🇼,hard,"['Guam', 'Kiribati', 'Saint Lucia', 'Seychelles', 'Grenada']"
Cyprus,Nicosia,Europe,923272,🇨🇾,medium,"['Fiji', 'Comoros', 'Guyana', 'Réunion', 'Solomon Islands']"
Czechia,Prague,Europe,10915839,🇨🇿,medium,"['United Arab Emirates', 'Tajikistan', 'Greece', 'Sweden', 'Bolivia']"
DRC,Kinshasa,Africa,124388160,🇨🇩,easy,"['Japan', 'Mexico', 'Philippines', 'Ethiopia', 'Egypt']"
Denmark,Copenhagen,Europe,6001008,🇩🇰,medium,"['El Salvador', 'Singapore', 'Somaliland', 'Congo', 'Finland']"
Djibouti,Djibouti,Africa,1066809,🇩🇯,medium,"['Guyana', 'Comoros', 'Fiji', 'Cyprus', 'Mauritius']"
Dominica,Roseau,Americas,71293,🇩🇲,hard,"['Micronesia', 'Guernsey', 'Bermuda', 'Sint Maarten', 'Isle of Man']"
Dominican Republic,Santo Domingo,Americas,11532151,🇩🇴,easy,"['Jordan', 'Haiti', 'Portugal', 'Bolivia', 'Papua New Guinea']"
Ecuador,Quito,Americas,17483326,🇪🇨,easy,"['Guinea', 'Cambodia', 'Zimbabwe', 'Netherlands', 'Guatemala']"
Egypt,Cairo,Africa,107868296,🇪🇬,easy,"['Philippines', 'Vietnam', 'Japan', 'Iran', 'DRC']"
El Salvador,San Salvador,Americas,6029976,🇸🇻,medium,"['Denmark', 'Singapore', 'Somaliland', 'Congo', 'Finland']"
Equatorial Guinea,Malabo,Africa,1795834,🇬🇶,medium,"['North Macedonia', 'Latvia', 'Kosovo', 'Trinidad and Tobago', 'Guinea-Bissau']"
Eritrea,Asmara,Africa,3500000,🇪🇷,medium,"['Uruguay', 'Bosnia and Herzegovina', 'Mongolia', 'Georgia', 'Qatar']"
Estonia,Tallinn,Europe,1362954,🇪🇪,medium,"['Timor-Leste', 'Eswatini', 'Mauritius', 'Bahrain', 'Trinidad and Tobago']"
Eswatini,Mbabane,Africa,1236126,🇸🇿,medium,"['Mauritius', 'Estonia', 'Djibouti', 'Timor-Leste', 'Bahrain']"
Ethiopia,Addis Ababa,Africa,138902185,🇪🇹,easy,"['Mexico', 'Russia', 'DRC', 'Japan', 'Philippines']"
Falkland Islands,Stanley,Americas,3662,🇫🇰,hard,"['Saint Barthélemy', 'Montserrat', 'Svalbard and Jan Mayen', 'Norfolk Island', 'British Indian Ocean Territory']"
Faroe Islands,Tórshavn,Europe,56210,🇫🇴,hard,"['South Ossetia', 'Greenland', 'Saint Kitts and Nevis', 'Sint Maarten', 'Saint Helena, Ascension and Tristan da Cunha']"
Fiji,Suva,Oceania,926276,🇫🇯,medium,"['Cyprus', 'Comoros', 'Guyana', 'Réunion', 'Solomon Islands']"
Finland,Helsinki,Europe,5652881,🇫🇮,medium,"['Norway', 'Central African Republic', 'Oman', 'Palestine', 'Mauritania']"
France,Paris,Europe,69081996,🇫🇷,easy,"['Tanzania', 'United Kingdom', 'Thailand', 'South Africa', 'Italy']"
French Guiana,Cayenne,Americas,254541,🇬🇫,hard,"['New Caledonia', 'Abkhazia', 'French Polynesia', 'Barbados', 'Mayotte']"
French Polynesia,Papeetē,Oceania,278786,🇵🇫,hard,"['Barbados', 'New Caledonia', 'French Guiana', 'Abkhazia', 'Mayotte']"
French Southern and Antarctic Lands,Port-aux-Français,Antarctic,400,🇹🇫,hard,"['United States Minor Outlying Islands', 'Cocos (Keeling) Islands', 'Pitcairn Islands', 'South Georgia', 'Bouvet Island']"
Gabon,Libreville,Africa,2397368,🇬🇦,medium,"['Albania', 'Gambia', 'Moldova', 'Botswana', 'Slovenia']"
Gambia,Banjul,Africa,2422712,🇬🇲,medium,"['Albania', 'Gabon', 'Moldova', 'Botswana', 'Slovenia']"
Georgia,Tbilisi,Asia,3657000,🇬🇪,medium,"['Mongolia', 'Eritrea', 'Uruguay', 'Croatia', 'Bosnia and Herzegovina']"
Germany,Berlin,Europe,83497147,🇩🇪,easy,"['Turkey', 'Iran', 'France', 'Tanzania', 'United Kingdom']"
Ghana,Accra,Africa,35039451,🇬🇭,easy,"['Afghanistan', 'Mozambique', 'Malaysia', 'Peru', 'Saudi Arabia']"
Gibraltar,Gibraltar,Europe,37936,🇬🇮,hard,"['British Virgin Islands', 'Marshall Islands', 'Saint Martin', 'Monaco', 'Liechtenstein']"
Greece,Athens,Europe,10718565,🇬🇷,medium,"['Tajikistan', 'Sweden', 'Czechia', 'United Arab Emirates', 'Azerbaijan']"
Greenland,Nuuk,Americas,56831,🇬🇱,hard,"['South Ossetia', 'Faroe Islands', 'Sint Maarten', 'Saint Kitts and Nevis', 'Saint Helena, Ascension and Tristan da Cunha']"
Grenada,St. George's,Americas,114621,🇬🇩,hard,"['Saint Vincent and the Grenadines', 'Aruba', 'Seychelles', 'Antigua and Barbuda', 'Jersey']"
Guadeloupe,Basse-Terre,Americas,400132,🇬🇵,hard,"['Bahamas', 'Belize', 'Iceland', 'Northern Cyprus', 'Martinique']"
Guam,Hagåtña,Oceania,165180,🇬🇺,hard,"['Curaçao', 'Saint Lucia', 'Kiribati', 'Samoa', 'Seychelles']"
Guatemala,Guatemala City,Americas,18636532,🇬🇹,easy,"['Senegal', 'Romania', 'Chad', 'Netherlands', 'Somalia']"
Guernsey,St. Peter Port,Europe,63950,🇬🇬,hard,"['Bermuda', 'Sint Maarten', 'Greenland', 'Dominica', 'South Ossetia']"
Guinea,Conakry,Africa,17521167,🇬🇳,easy,"['Ecuador', 'Cambodia', 'Zimbabwe', 'Netherlands', 'Guatemala']"
Guinea-Bissau,Bissau,Africa,2080000,🇬🇼,medium,"['Lesotho', 'Slovenia', 'Latvia', 'North Macedonia', 'Botswana']"
Guyana,Georgetown,Americas,950986,🇬🇾,medium,"['Comoros', 'Fiji', 'Cyprus', 'Réunion', 'Djibouti']"
Haiti,Port-au-Prince,Americas,11470261,🇭🇹,easy,"['Jordan', 'Portugal', 'Dominican Republic', 'Bolivia', 'Papua New Guinea']"
Heard Island and McDonald Islands,,Antarctic,0,🇭🇲,hard,"['Bouvet Island', 'South Georgia', 'Pitcairn Islands', 'United States Minor Outlying Islands', 'French Southern and Antarctic Lands']"
Honduras,Tegucigalpa,Americas,9571352,🇭🇳,medium,"['Togo', 'Hungary', 'Cuba', 'Austria', 'Switzerland']"
Hong Kong,City of Victoria,Asia,7498100,🇭🇰,medium,"['Kyrgyzstan', 'Libya', 'Ireland', 'Turkmenistan', 'Laos']"
Hungary,Budapest,Europe,9489000,🇭🇺,medium,"['Honduras', 'Togo', 'Cuba', 'Austria', 'Switzerland']"
Iceland,Reykjavik,Europe,394324,🇮🇸,hard,"['Belize', 'Bahamas', 'Guadeloupe', 'Northern Cyprus', 'Martinique']"
India,New Delhi,Asia,1380004385,🇮🇳,easy,"['China', 'United States', 'Indonesia', 'Nigeria', 'Pakistan']"
Indonesia,Jakarta,Asia,288315089,🇮🇩,easy,"['Nigeria', 'Pakistan', 'United States', 'Brazil', 'Bangladesh']"
Iran,Tehran,Asia,92417681,🇮🇷,easy,"['Turkey', 'Germany', 'Vietnam', 'Egypt', 'Philippines']"
Iraq,Baghdad,Asia,46118793,🇮🇶,easy,"['Uganda', 'Argentina', 'Algeria', 'Spain', 'Canada']"
Ireland,Dublin,Europe,7185600,🇮🇪,medium,"['Turkmenistan', 'Libya', 'Kyrgyzstan', 'Hong Kong', 'Laos']"
Isle of Man,Douglas,Europe,84523,🇮🇲,hard,"['United States Virgin Islands', 'Andorra', 'Cayman Islands', 'Micronesia', 'Dominica']"
Israel,Jerusalem,Asia,10147200,🇮🇱,medium,"['Azerbaijan', 'Cuba', 'Sweden', 'Togo', 'Greece']"
Italy,Rome,Europe,58915561,🇮🇹,easy,"['Myanmar', 'South Africa', 'Kenya', 'Colombia', 'Thailand']"
Ivory Coast,Yamoussoukro,Africa,31500000,🇨🇮,easy,"['Venezuela', 'Nepal', 'Madagascar', 'Cameroon', 'Ukraine']"
Jamaica,Kingston,Americas,2824913,🇯🇲,medium,"['Lithuania', 'Namibia', 'Armenia', 'Puerto Rico', 'Qatar']"
Japan,Tokyo,Asia,122950000,🇯🇵,easy,"['DRC', 'Philippines', 'Mexico', 'Egypt', 'Ethiopia']"
Jersey,Saint Helier,Europe,104540,🇯🇪,hard,"['Antigua and Barbuda', 'Aruba', 'Tonga', 'Saint Vincent and the Grenadines', 'Grenada']"
Jordan,Amman,Asia,11484805,🇯🇴,easy,"['Haiti', 'Dominican Republic', 'Portugal', 'Bolivia', 'Papua New Guinea']"
Kazakhstan,Astana,Asia,20547909,🇰🇿,easy,"['Zambia', 'Malawi', 'Chile', 'Sri Lanka', 'Somalia']"
Kenya,Nairobi,Africa,53330978,🇰🇪,easy,"['Colombia', 'Sudan', 'South Korea', 'Myanmar', 'Spain']"
Kiribati,South Tarawa,Oceania,138000,🇰🇮,hard,"['Seychelles', 'Curaçao', 'Grenada', 'Saint Vincent and the Grenadines', 'Guam']"
Kosovo,Pristina,Europe,1585566,🇽🇰,medium,"['Trinidad and Tobago', 'Bahrain', 'Timor-Leste', 'Equatorial Guinea', 'Estonia']"
Kuwait,Kuwait City,Asia,5118445,🇰🇼,medium,"['Costa Rica', 'New Zealand', 'Lebanon', 'Slovakia', 'Liberia']"
Kyrgyzstan,Bishkek,Asia,7400000,🇰🇬,medium,"['Libya', 'Hong Kong', 'Ireland', 'Turkmenistan', 'Laos']"
Laos,Vientiane,Asia,6740000,🇱🇦,medium,"['Nicaragua', 'Serbia', 'Paraguay', 'Bulgaria', 'Turkmenistan']"
Latvia,Riga,Europe,1842226,🇱🇻,medium,"['North Macedonia', 'Equatorial Guinea', 'Guinea-Bissau', 'Kosovo', 'Lesotho']"
Lebanon,Beirut,Asia,5364482,🇱🇧,medium,"['Slovakia', 'Liberia', 'Mauritania', 'Palestine', 'Oman']"
Lesotho,Maseru,Africa,2116427,🇱🇸,medium,"['Slovenia', 'Guinea-Bissau', 'Botswana', 'Moldova', 'Latvia']"
Liberia,Monrovia,Africa,5437249,🇱🇷,medium,"['Mauritania', 'Slovakia', 'Palestine', 'Oman', 'Lebanon']"
Libya,Tripoli,Africa,7361263,🇱🇾,medium,"['Kyrgyzstan', 'Hong Kong', 'Ireland', 'Turkmenistan', 'Laos']"
Liechtenstein,Vaduz,Europe,41237,🇱🇮,hard,"['American Samoa', 'Monaco', 'Saint Martin', 'British Virgin Islands', 'Gibraltar']"
Lithuania,Vilnius,Europe,2897430,🇱🇹,medium,"['Jamaica', 'Namibia', 'Armenia', 'Puerto Rico', 'Qatar']"
Luxembourg,Luxembourg,Europe,692402,🇱🇺,medium,"['Macau', 'Bhutan', 'Suriname', 'Montenegro', 'Maldives']"
Macau,,Asia,712651,🇲🇴,medium,"['Bhutan', 'Luxembourg', 'Suriname', 'Montenegro', 'Maldives']"
Madagascar,Antananarivo,Africa,31964956,🇲🇬,easy,"['Venezuela', 'Ukraine', 'Ivory Coast', 'Yemen', 'Nepal']"
Malawi,Lilongwe,Africa,21240689,🇲🇼,easy,"['Sri Lanka', 'Kazakhstan', 'Zambia', 'Burkina Faso', 'Chile']"
Malaysia,Kuala Lumpur,Asia,34564810,🇲🇾,easy,"['Peru', 'Mozambique', 'Afghanistan', 'Ghana', 'Saudi Arabia']"
Maldives,Malé,Asia,601269,🇲🇻,hard,"['Montenegro', 'Suriname', 'Malta', 'Western Sahara', 'Luxembourg']"
Mali,Bamako,Africa,25200000,🇲🇱,easy,"['North Korea', 'Syria', 'Niger', 'Taiwan', 'Australia']"
Malta,Valletta,Europe,519562,🇲🇹,hard,"['Western Sahara', 'Cabo Verde', 'Brunei', 'Maldives', 'Montenegro']"
Marshall Islands,Majuro,Oceania,37548,🇲🇭,hard,"['Gibraltar', 'British Virgin Islands', 'Saint Martin', 'Monaco', 'San Marino']"
Martinique,Fort-de-France,Americas,378243,🇲🇶,hard,"['Northern Cyprus', 'Iceland', 'Belize', 'Bahamas', 'Guadeloupe']"
Mauritania,Nouakchott,Africa,5461319,🇲🇷,medium,"['Palestine', 'Liberia', 'Oman', 'Central African Republic', 'Slovakia']"
Mauritius,Port Louis,Africa,1235260,🇲🇺,medium,"['Eswatini', 'Estonia', 'Djibouti', 'Timor-Leste', 'Bahrain']"
Mayotte,Mamoudzou,Africa,226915,🇾🇹,hard,"['São Tomé and Príncipe', 'Abkhazia', 'Samoa', 'French Guiana', 'New Caledonia']"
Mexico,Mexico City,Americas,134407258,🇲🇽,easy,"['Ethiopia', 'DRC', 'Japan', 'Russia', 'Philippines']"
Micronesia,Palikir,Oceania,75817,🇫🇲,hard,"['Dominica', 'Isle of Man', 'United States Virgin Islands', 'Guernsey', 'Bermuda']"
Moldova,Chișinău,Europe,2365645,🇲🇩,medium,"['Botswana', 'Gabon', 'Albania', 'Gambia', 'Slovenia']"
Monaco,Monaco,Europe,38857,🇲🇨,hard,"['Saint Martin', 'British Virgin Islands', 'Gibraltar', 'Marshall Islands', 'Liechtenstein']"
Mongolia,Ulan Bator,Asia,3591120,🇲🇳,medium,"['Georgia', 'Eritrea', 'Uruguay', 'Bosnia and Herzegovina', 'Croatia']"
Montenegro,Podgorica,Europe,622902,🇲🇪,hard,"['Suriname', 'Maldives', 'Luxembourg', 'Macau', 'Malta']"
Montserrat,Plymouth,Americas,4399,🇲🇸,hard,"['Saint Barthélemy', 'Falkland Islands', 'Saint Pierre and Miquelon', 'Svalbard and Jan Mayen', 'Norfolk Island']"
Morocco,Rabat,Africa,36828330,🇲🇦,easy,"['Angola', 'Poland', 'Uzbekistan', 'Ghana', 'Afghanistan']"
Mozambique,Maputo,Africa,34881007,🇲🇿,easy,"['Afghanistan', 'Ghana', 'Malaysia', 'Peru', 'Saudi Arabia']"
Myanmar,Naypyidaw,Asia,55770232,🇲🇲,easy,"['Kenya', 'Colombia', 'Italy', 'Sudan', 'South Korea']"
Namibia,Windhoek,Africa,3022401,🇳🇦,medium,"['Armenia', 'Lithuania', 'Puerto Rico', 'Qatar', 'Jamaica']"
Nauru,Yaren,Oceania,12025,🇳🇷,hard,"['Wallis and Futuna', 'Tuvalu', 'Cook Islands', 'Anguilla', 'Palau']"
Nepal,Kathmandu,Asia,31122387,🇳🇵,easy,"['Cameroon', 'Ivory Coast', 'Venezuela', 'Madagascar', 'Ukraine']"
Netherlands,Amsterdam,Europe,18044027,🇳🇱,easy,"['Cambodia', 'Guinea', 'Ecuador', 'Guatemala', 'Senegal']"
New Caledonia,Nouméa,Oceania,264596,🇳🇨,hard,"['French Guiana', 'French Polynesia', 'Barbados', 'Abkhazia', 'Mayotte']"
New Zealand,Wellington,Oceania,4993923,🇳🇿,medium,"['Kuwait', 'Costa Rica', 'Lebanon', 'Slovakia', 'Liberia']"
Nicaragua,Managua,Americas,6676948,🇳🇮,medium,"['Laos', 'Serbia', 'Paraguay', 'Bulgaria', 'Turkmenistan']"
Niger,Niamey,Africa,26342784,🇳🇪,easy,"['Syria', 'North Korea', 'Mali', 'Australia', 'Taiwan']"
Nigeria,Abuja,Africa,242747130,🇳🇬,easy,"['Pakistan', 'Brazil', 'Indonesia', 'Bangladesh', 'Russia']"
Niue,Alofi,Oceania,1681,🇳🇺,hard,"['Christmas Island', 'Tokelau', 'British Indian Ocean Territory', 'Antarctica', 'Norfolk Island']"
Norfolk Island,Kingston,Oceania,2188,🇳🇫,hard,"['British Indian Ocean Territory', 'Svalbard and Jan Mayen', 'Christmas Island', 'Niue', 'Tokelau']"
North Korea,Pyongyang,Asia,25950000,🇰🇵,easy,"['Syria', 'Niger', 'Mali', 'Australia', 'Taiwan']"
North Macedonia,Skopje,Europe,1836713,🇲🇰,medium,"['Latvia', 'Equatorial Guinea', 'Guinea-Bissau', 'Kosovo', 'Lesotho']"
Northern Cyprus,North Nicosia,Europe,382836,,hard,"['Martinique', 'Iceland', 'Belize', 'Bahamas', 'Guadeloupe']"
Northern Mariana Islands,Saipan,Oceania,46078,🇲🇵,hard,"['American Samoa', 'Turks and Caicos Islands', 'Liechtenstein', 'Saint Helena, Ascension and Tristan da Cunha', 'Monaco']"
Norway,Oslo,Europe,5627400,🇳🇴,medium,"['Finland', 'Central African Republic', 'Oman', 'Palestine', 'Mauritania']"
Oman,Muscat,Asia,5494691,🇴🇲,medium,"['Palestine', 'Central African Republic', 'Mauritania', 'Liberia', 'Slovakia']"
Pakistan,Islamabad,Asia,241499431,🇵🇰,easy,"['Nigeria', 'Brazil', 'Indonesia', 'Bangladesh', 'Russia']"
Palau,Ngerulmud,Oceania,17663,🇵🇼,hard,"['Anguilla', 'Cook Islands', 'Nauru', 'Wallis and Futuna', 'Tuvalu']"
Palestine,Ramallah,Asia,5483450,🇵🇸,medium,"['Oman', 'Mauritania', 'Central African Republic', 'Liberia', 'Slovakia']"
Panama,Panama City,Americas,4337768,🇵🇦,medium,"['Croatia', 'New Zealand', 'Georgia', 'Mongolia', 'Kuwait']"
Papua New Guinea,Port Moresby,Oceania,11781559,🇵🇬,easy,"['Belgium', 'Tunisia', 'Dominican Republic', 'Jordan', 'Haiti']"
Paraguay,Asunción,Americas,6460159,🇵🇾,medium,"['Bulgaria', 'Serbia', 'Nicaragua', 'Congo', 'Somaliland']"
Peru,Lima,Americas,34352720,🇵🇪,easy,"['Malaysia', 'Mozambique', 'Afghanistan', 'Saudi Arabia', 'Ghana']"
Philippines,Manila,Asia,112729484,🇵🇭,easy,"['Egypt', 'Japan', 'Vietnam', 'DRC', 'Iran']"
Pitcairn Islands,Adamstown,Oceania,35,🇵🇳,hard,"['South Georgia', 'Bouvet Island', 'Heard Island and McDonald Islands', 'United States Minor Outlying Islands', 'French Southern and Antarctic Lands']"
Poland,Warsaw,Europe,37314000,🇵🇱,easy,"['Morocco', 'Angola', 'Uzbekistan', 'Ghana', 'Afghanistan']"
Portugal,Lisbon,Europe,11424031,🇵🇹,easy,"['Haiti', 'Bolivia', 'Jordan', 'Dominican Republic', 'Papua New Guinea']"
Puerto Rico,San Juan,Americas,3194034,🇵🇷,medium,"['Qatar', 'Armenia', 'Namibia', 'Bosnia and Herzegovina', 'Lithuania']"
Qatar,Doha,Asia,3214609,🇶🇦,medium,"['Puerto Rico', 'Armenia', 'Namibia', 'Bosnia and Herzegovina', 'Uruguay']"
Romania,Bucharest,Europe,19043151,🇷🇴,easy,"['Chad', 'Senegal', 'Somalia', 'Guatemala', 'Chile']"
Russia,Moscow,Europe,146028325,🇷🇺,easy,"['Ethiopia', 'Mexico', 'DRC', 'Japan', 'Bangladesh']"
Rwanda,Kigali,Africa,14104969,🇷🇼,easy,"['Burundi', 'Benin', 'South Sudan', 'Tunisia', 'Belgium']"
Réunion,Saint-Denis,Africa,840974,🇷🇪,medium,"['Solomon Islands', 'Cyprus', 'Fiji', 'Comoros', 'Guyana']"
Saint Barthélemy,Gustavia,Americas,4255,🇧🇱,hard,"['Montserrat', 'Falkland Islands', 'Saint Pierre and Miquelon', 'Svalbard and Jan Mayen', 'Norfolk Island']"
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,53192,🇸🇭,hard,"['Saint Kitts and Nevis', 'Turks and Caicos Islands', 'Faroe Islands', 'South Ossetia', 'Greenland']"
Saint Kitts and Nevis,Basseterre,Americas,54338,🇰🇳,hard,"['Saint Helena, Ascension and Tristan da Cunha', 'Faroe Islands', 'South Ossetia', 'Greenland', 'Turks and Caicos Islands']"
Saint Lucia,Castries,Americas,184100,🇱🇨,hard,"['Guam', 'Samoa', 'Curaçao', 'São Tomé and Príncipe', 'Mayotte']"
